representation,type,cv_auc,cv_ci,test_auc,test_ci
Transcript length,surface,0.6939014202172097,"[0.618, 0.766]",,—
Surface stats,surface,0.7427736006683375,"[0.673, 0.803]",0.7957393483709272,"[0.659, 0.909]"
V1 categorical,LLM,0.6928153717627401,"[0.617, 0.766]",,—
V2 stable+surface,LLM,0.8058479532163743,"[0.739, 0.867]",0.8070175438596491,"[0.677, 0.916]"
TF-IDF char 3-5-gram,lexical,0.8673350041771094,"[0.816, 0.912]",,—
C5-FERNET (frozen),embedding,0.748203842940685,"[0.676, 0.813]",0.6691729323308271,"[0.516, 0.812]"
RobeCzech (frozen),embedding,0.8176274018379281,"[0.747, 0.877]",0.8646616541353382,"[0.735, 0.970]"
CZERT-B (frozen),embedding,0.8156223893065998,"[0.749, 0.875]",0.8295739348370929,"[0.682, 0.953]"
mBERT (frozen),embedding,0.7848788638262322,"[0.714, 0.846]",0.731829573934837,"[0.571, 0.875]"
Small-E-Czech (frozen),embedding,0.8065162907268169,"[0.739, 0.866]",0.87468671679198,"[0.755, 0.970]"
