,mean_abs_shap
n_type,0.7121403165744038
n_deictic_r100,0.43179663873574414
n_specific_verb_r100,0.3543631859323858
n_char,0.3083643401583946
n_proposition_r100,0.17664499077354343
n_selfcorrect_r100,0.15911491132520594
n_locative_r100,0.15417022717134243
n_repeated_lemma_r100,0.10194845008399575
mlu,0.03871215268104529
n_hedge_r100,0.021824318613377695
n_diminutive_r100,0.015435095845309024
n_metacomment_r100,0.0
n_quantity_r100,0.0
n_region_r100,0.0
repeat_mass_r100,0.0
region_breadth,0.0
n_word,0.0
ttr,0.0
n_sent,0.0
n_comma,0.0
