feature,spearman,pearson,icc21,exact_match,medA,medB,mean_abs_diff,stable
n_entities,-0.0522152926146402,-0.009265906291849937,-0.002206502617675161,0.3944954128440367,0.0,9.0,8.599388379204893,False
n_specific_verb,0.7604877651433292,0.7819018215160171,0.7444692305665579,0.2996941896024465,11.0,10.0,1.724770642201835,True
n_generic_verb,0.4212004103025195,0.4305074818889734,0.3865480302982284,0.327217125382263,1.0,2.0,1.4036697247706422,False
n_locative,0.8805894937423097,0.8879471718206144,0.8820957179501456,0.3669724770642202,7.0,7.0,1.2048929663608563,True
n_hedge,0.8105774137888271,0.8142120857253764,0.8076519641265018,0.6238532110091743,1.0,1.0,0.5840978593272171,True
n_deictic,0.6604470854645165,0.6430257696204786,0.6246127449795797,0.44036697247706424,2.0,1.0,1.036697247706422,True
n_metacomment,0.7908635088713952,0.6725339071730743,0.6686974735589977,0.7584097859327217,1.0,0.0,0.40061162079510704,True
n_diminutive,0.6172461706038873,0.5383899299634926,0.4853411851391336,0.363914373088685,3.0,2.0,1.45565749235474,True
n_quantity,0.8783379508096031,0.8388247260818995,0.8388107428698176,0.7767584097859327,0.0,0.0,0.37003058103975534,True
n_proposition,0.8998084109113651,0.8780043099091561,0.8661860528544798,0.45871559633027525,13.0,12.0,1.2996941896024465,True
n_selfcorrect,0.6275689423820187,0.6994472436922091,0.6570616533582684,0.7614678899082569,0.0,0.0,0.308868501529052,True
n_region,0.6102458383108835,0.6467505492289526,0.6143998218808269,0.6819571865443425,3.0,3.0,0.4434250764525994,True
n_repeated_lemma,0.6719761662019003,0.6479954572547496,0.6149804284529797,0.37003058103975534,3.0,3.0,1.0305810397553516,True
repeat_mass,0.6967786579602075,0.7114973146454416,0.6994505147880278,0.21406727828746178,8.0,7.0,2.697247706422018,True
n_entities_r100,-0.06447328577229815,0.027995043197979057,0.011797369305239757,,0.0,12.5,13.431638716559311,False
n_specific_verb_r100,0.754610170070439,0.7516130124226926,0.7110348114749385,,15.217391304347826,13.513513513513514,2.649043745265146,True
n_generic_verb_r100,0.34031927085627073,0.3235201395206269,0.3026582354978842,,2.127659574468085,2.3255813953488373,2.076751876131488,False
n_locative_r100,0.7969454506650742,0.8231312485451989,0.8160018019239323,,9.523809523809524,10.144927536231885,1.6181054180342416,True
n_hedge_r100,0.7819094058207081,0.7484176405905438,0.7420429453253773,,1.9230769230769231,1.4492753623188406,0.822098698287188,True
n_deictic_r100,0.6440902981907535,0.617102719092023,0.6021251286877773,,2.542372881355932,1.5384615384615385,1.4288005077933523,True
n_metacomment_r100,0.7826759155870247,0.7316752562696848,0.7304375259382253,,0.9174311926605505,0.0,0.5913874096289654,True
n_diminutive_r100,0.5644699168922587,0.4712291549027305,0.4300766260953205,,3.7037037037037037,2.73972602739726,2.0888720064098703,False
n_quantity_r100,0.8696508668288497,0.8290229975513039,0.8281646347332553,,0.0,0.0,0.4906972011414732,True
n_proposition_r100,0.8022633782313362,0.8173680509698352,0.8039603577664336,,18.42105263157895,17.391304347826086,1.8924318487161358,True
n_selfcorrect_r100,0.6122938385836152,0.6451114017104547,0.6184036147154577,,0.0,0.0,0.423033907093928,True
n_region_r100,0.6311559141107397,0.5402203519556946,0.5180708024529938,,3.896103896103896,3.3707865168539324,0.7739959184306551,True
n_repeated_lemma_r100,0.5823237187933731,0.5632587274843814,0.5425298025931474,,4.878048780487805,4.2105263157894735,1.513219882820311,False
repeat_mass_r100,0.5877737210856863,0.5783809715422582,0.5648769198235555,,11.11111111111111,10.294117647058824,3.8212285477358656,False
specific_verb_ratio,0.4391236223458603,0.5022791112798626,0.48528898104609713,,0.875,0.8461538461538461,0.1176902755396595,False
region_breadth,0.6102458383108835,0.6467505492289526,0.614399821880827,,1.0,1.0,0.14780835881753313,True
