key,representation,clf,n_feat,AUC,CI_low,CI_high,macroF1,balAcc
tfidf,TF-IDF char 3-5gram (ceiling),l2,text,0.8673350041771094,0.8159698582556267,0.9118945674077229,0.7582025829864447,0.7528822055137845
v2fp,V2 stable + surface (frozen primary),enet,20,0.8058479532163743,0.7385434812464904,0.8667011641326708,0.7444428882975531,0.7564327485380117
v2r_surf,V2 rates + surface,enet,22,0.8052631578947369,0.7365307203389831,0.8677118274565192,0.7444428882975531,0.7564327485380117
v2all,V2 counts+rates,enet,28,0.79515455304929,0.7181087992153565,0.8624200135990853,0.7663428017410319,0.7697577276524645
v2fp_l2,V2 stable + surface (frozen primary),l2,20,0.789139515455305,0.7194170932993833,0.8534243398255161,0.7231392466291795,0.7320802005012531
v2fp_svm,V2 stable + surface (frozen primary),svm,20,0.7871345029239767,0.7170989477947912,0.8512501298109225,0.7015371166314563,0.6821219715956558
v2stab,V2 stable-only,enet,13,0.7754385964912279,0.6989928517987628,0.847211038961039,0.7367292442142741,0.7450710108604846
v2r,V2 rates,enet,15,0.7679197994987469,0.6914665075755824,0.8404328054985951,0.7367292442142741,0.7450710108604846
surf_svm,Surface stats,svm,7,0.7490392648287385,0.6814788374372205,0.8087828121700755,0.606346231088499,0.6022556390977443
surf,Surface stats,enet,7,0.7427736006683375,0.6734970357341735,0.803410362655447,0.641642519444868,0.6622389306599833
surf_l2,Surface stats,l2,7,0.7418546365914787,0.6729812710120929,0.8032905679840832,0.6438445853676786,0.6719715956558061
len,Transcript length,enet,1,0.6939014202172097,0.6182117670689448,0.7662176875756683,0.6169795978710821,0.6472848788638262
v1,V1 categorical,enet,10,0.6928153717627401,0.616836091906602,0.7656275787659127,0.6139631192373809,0.6252297410192147
