feature,n_levels,top_value,top_share,entropy,eta2_length,chi2_p,best_level_auc,q_bh,verdict
self_referential_metacommentary,5,absent,0.35269709543568467,0.8484324677933865,0.0367670827876285,0.00012103141660631454,0.6087301587301587,0.0012103141660631453,keep
action_verb_tense_consistency,4,strict_present,0.5809128630705395,0.6169028036395071,0.03281344179612719,0.0002602990735241745,0.6375522138680034,0.0013014953676208725,keep
discourse_marker_usage,5,sparse,0.42323651452282157,0.8714905547103885,0.08126502222753623,0.0012572789294636212,0.5840434419381788,0.004190929764878738,keep
narrative_coherence,4,fragmented_list,0.5186721991701245,0.8305124685361879,0.15067908682991057,0.009349726132287831,0.5875104427736006,0.023374315330719576,keep
lexical_variation_and_repetition,4,low_variation,0.4315352697095436,0.7929061748567252,0.03776086424605737,0.017904968452485254,0.5989557226399332,0.03580993690497051,keep
emotional_interpretation_inference,4,purely_physical,0.6224066390041494,0.6928872514925604,0.20445605905718864,0.02316503669053322,0.5949456975772764,0.038608394484222035,keep
uncertainty_markers,4,occasional,0.36929460580912865,0.9231639958583459,0.10848999023341722,0.03124387384329902,0.5956975772765246,0.04463410549042717,keep
entity_specificity_level,3,basic_attributes,0.6141078838174274,0.8445850883007746,0.3495556895700798,0.09523123466567336,0.5507101086048455,0.1190390433320917,LENGTH PROXY
spatial_organization_pattern,4,random_jump,0.921161825726141,0.260857672859863,0.10921390756904782,0.3613115223220507,0.5253550543024228,0.4014572470245008,DEGENERATE — no variation
quantification_precision,4,estimates_only,0.47717842323651455,0.8857443877597062,0.18697038224048465,0.6522441322737862,0.5343358395989974,0.6522441322737862,no association
